ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
v_dekwanamaquiritarimaqu1238-mB-1,,v_dekwanamaquiritarimaqu1238,mB,-nuwā-dɨ,-nuwā-dɨ,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-myB-1,,v_dekwanamaquiritarimaqu1238,myB,šīʔčɨ,šīʔčɨ,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mF-1,,v_dekwanamaquiritarimaqu1238,mF,haha,haha,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mM-1,,v_dekwanamaquiritarimaqu1238,mM,denɨ,denɨ,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mC-1,,v_dekwanamaquiritarimaqu1238,mC,nnedɨ,nnedɨ,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mS-1,,v_dekwanamaquiritarimaqu1238,mS,nnedɨ,nnedɨ,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mD-1,,v_dekwanamaquiritarimaqu1238,mD,nnedɨ,nnedɨ,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFF-1,,v_dekwanamaquiritarimaqu1238,mFF,kōko,kōko,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFM-1,,v_dekwanamaquiritarimaqu1238,mFM,-tamū-du,-tamū-du,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMF-1,,v_dekwanamaquiritarimaqu1238,mMF,kōko,kōko,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMM-1,,v_dekwanamaquiritarimaqu1238,mMM,-tamū-du,-tamū-du,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mSS-1,,v_dekwanamaquiritarimaqu1238,mSS,hādɨ,hādɨ,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mSD-1,,v_dekwanamaquiritarimaqu1238,mSD,hādɨ,hādɨ,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mDS-1,,v_dekwanamaquiritarimaqu1238,mDS,hādɨ,hādɨ,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mDD-1,,v_dekwanamaquiritarimaqu1238,mDD,hādɨ,hādɨ,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFB-1,,v_dekwanamaquiritarimaqu1238,mFB,haha,haha,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFZ-1,,v_dekwanamaquiritarimaqu1238,mFZ,waynɲeʔney,waynɲeʔney,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMB-1,,v_dekwanamaquiritarimaqu1238,mMB,yawo,yawo,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMZ-1,,v_dekwanamaquiritarimaqu1238,mMZ,denɨ,denɨ,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mBS-1,,v_dekwanamaquiritarimaqu1238,mBS,honɨ,honɨ,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mBS-2,,v_dekwanamaquiritarimaqu1238,mBS,honɨ-kə,honɨ-kə,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mBD-1,,v_dekwanamaquiritarimaqu1238,mBD,hāse,hāse,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mZS-1,,v_dekwanamaquiritarimaqu1238,mZS,honɨ,honɨ,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mZS-2,,v_dekwanamaquiritarimaqu1238,mZS,honɨ-kə,honɨ-kə,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mZD-1,,v_dekwanamaquiritarimaqu1238,mZD,hāse,hāse,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFZD-1,,v_dekwanamaquiritarimaqu1238,mFZD,waiɲe,waiɲe,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFZD-2,,v_dekwanamaquiritarimaqu1238,mFZD,yāʔko,yāʔko,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFBD-1,,v_dekwanamaquiritarimaqu1238,mFBD,waiɲe,waiɲe,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFBD-2,,v_dekwanamaquiritarimaqu1238,mFBD,yāʔko,yāʔko,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMBD-1,,v_dekwanamaquiritarimaqu1238,mMBD,waiɲe,waiɲe,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMBD-2,,v_dekwanamaquiritarimaqu1238,mMBD,yāʔko,yāʔko,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMZD-1,,v_dekwanamaquiritarimaqu1238,mMZD,waiɲe,waiɲe,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMZD-2,,v_dekwanamaquiritarimaqu1238,mMZD,yāʔko,yāʔko,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFBS-1,,v_dekwanamaquiritarimaqu1238,mFBS,waiɲe,waiɲe,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFBS-2,,v_dekwanamaquiritarimaqu1238,mFBS,yāʔko,yāʔko,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFZS-1,,v_dekwanamaquiritarimaqu1238,mFZS,waiɲe,waiɲe,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFZS-2,,v_dekwanamaquiritarimaqu1238,mFZS,yāʔko,yāʔko,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMBS-1,,v_dekwanamaquiritarimaqu1238,mMBS,waiɲe,waiɲe,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMBS-2,,v_dekwanamaquiritarimaqu1238,mMBS,yāʔko,yāʔko,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMZS-1,,v_dekwanamaquiritarimaqu1238,mMZS,waiɲe,waiɲe,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMZS-2,,v_dekwanamaquiritarimaqu1238,mMZS,yāʔko,yāʔko,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mH-1,,v_dekwanamaquiritarimaqu1238,mH,-ɲno,-ɲno,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mWF-1,,v_dekwanamaquiritarimaqu1238,mWF,wōdɨ̄mə,wōdɨ̄mə,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mDH-1,,v_dekwanamaquiritarimaqu1238,mDH,-hannɨ-dɨ,-hannɨ-dɨ,,,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-meB-1,,v_dekwanamaquiritarimaqu1238,meB,-nuwā-dɨ,-nuwā-dɨ,,Inferred; NA,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFeB-1,,v_dekwanamaquiritarimaqu1238,mFeB,haha,haha,,Inferred; NA,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFyB-1,,v_dekwanamaquiritarimaqu1238,mFyB,haha,haha,,Inferred; NA,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFeZ-1,,v_dekwanamaquiritarimaqu1238,mFeZ,waynɲeʔney,waynɲeʔney,,Inferred; NA,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mFyZ-1,,v_dekwanamaquiritarimaqu1238,mFyZ,waynɲeʔney,waynɲeʔney,,Inferred; NA,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMeZ-1,,v_dekwanamaquiritarimaqu1238,mMeZ,denɨ,denɨ,,Inferred; NA,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMyZ-1,,v_dekwanamaquiritarimaqu1238,mMyZ,denɨ,denɨ,,Inferred; NA,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMeB-1,,v_dekwanamaquiritarimaqu1238,mMeB,yawo,yawo,,Inferred; NA,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-mMyB-1,,v_dekwanamaquiritarimaqu1238,mMyB,yawo,yawo,,Inferred; NA,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-meBS-1,,v_dekwanamaquiritarimaqu1238,meBS,honɨ,honɨ,,Inferred; NA,hall_kwana_2015,,,,
v_dekwanamaquiritarimaqu1238-meBS-2,,v_dekwanamaquiritarimaqu1238,meBS,honɨ-kə,honɨ-kə,,Inferred; NA,hall_kwana_2015,,,,
